시군구명,법정동명,상세영업상태명,영업상태수
강남구,개포동,영업,71
강남구,개포동,폐업,169
강남구,논현동,영업,238
강남구,논현동,폐업,489
강남구,대치동,영업,260
강남구,대치동,폐업,410
강남구,도곡동,영업,81
강남구,도곡동,폐업,138
강남구,삼성동,영업,214
강남구,삼성동,폐업,846
강남구,세곡동,영업,18
강남구,세곡동,폐업,11
강남구,수서동,영업,34
강남구,수서동,폐업,18
강남구,신사동,영업,240
강남구,신사동,폐업,583
강남구,압구정동,영업,25
강남구,압구정동,폐업,69
강남구,역삼동,영업,479
강남구,역삼동,폐업,802
강남구,율현동,영업,5
강남구,율현동,폐업,3
강남구,일원동,영업,33
강남구,일원동,폐업,39
강남구,자곡동,영업,13
강남구,자곡동,폐업,6
강남구,청담동,영업,103
강남구,청담동,폐업,188
강동구,강일동,영업,7
강동구,강일동,폐업,8
강동구,고덕동,영업,23
강동구,고덕동,폐업,32
강동구,길동,영업,44
강동구,길동,폐업,146
강동구,둔촌동,영업,36
강동구,둔촌동,폐업,56
강동구,명일동,영업,65
강동구,명일동,폐업,138
강동구,상일동,영업,26
강동구,상일동,폐업,47
강동구,성내동,영업,130
강동구,성내동,폐업,295
강동구,암사동,영업,52
강동구,암사동,폐업,100
강동구,천호동,영업,106
강동구,천호동,폐업,329
강북구,미아동,영업,104
강북구,미아동,폐업,246
강북구,번동,영업,33
강북구,번동,폐업,73
강북구,수유동,영업,79
강북구,수유동,폐업,228
강북구,우이동,영업,9
강북구,우이동,폐업,22
강서구,가양동,영업,43
강서구,가양동,폐업,35
강서구,개화동,폐업,3
강서구,공항동,영업,32
강서구,공항동,폐업,27
강서구,과해동,영업,2
강서구,내발산동,영업,62
강서구,내발산동,폐업,68
강서구,등촌동,영업,129
강서구,등촌동,폐업,134
강서구,마곡동,영업,216
강서구,마곡동,폐업,61
강서구,방화동,영업,102
강서구,방화동,폐업,138
강서구,염창동,영업,48
강서구,염창동,폐업,61
강서구,오쇠동,영업,1
강서구,외발산동,영업,3
강서구,외발산동,폐업,2
강서구,화곡동,영업,224
강서구,화곡동,폐업,317
관악구,남현동,영업,29
관악구,남현동,폐업,33
관악구,봉천동,영업,241
관악구,봉천동,폐업,490
관악구,신림동,영업,268
관악구,신림동,폐업,570
광진구,광장동,영업,37
광진구,광장동,폐업,38
광진구,구의동,영업,107
광진구,구의동,폐업,160
광진구,군자동,영업,32
광진구,군자동,폐업,56
광진구,능동,영업,20
광진구,능동,폐업,19
광진구,자양동,영업,114
광진구,자양동,폐업,197
광진구,중곡동,영업,70
광진구,중곡동,폐업,122
광진구,화양동,영업,86
광진구,화양동,폐업,175
구로구,가리봉동,영업,7
구로구,가리봉동,폐업,83
구로구,개봉동,영업,58
구로구,개봉동,폐업,122
구로구,고척동,영업,48
구로구,고척동,폐업,132
구로구,구로동,영업,202
구로구,구로동,폐업,452
구로구,궁동,영업,12
구로구,궁동,폐업,13
구로구,신도림동,영업,46
구로구,신도림동,폐업,83
구로구,오류동,영업,31
구로구,오류동,폐업,98
구로구,온수동,영업,12
구로구,온수동,폐업,8
구로구,천왕동,영업,7
구로구,천왕동,폐업,3
구로구,항동,영업,5
금천구,가산동,영업,180
금천구,가산동,폐업,165
금천구,독산동,영업,88
금천구,독산동,폐업,181
금천구,시흥동,영업,84
금천구,시흥동,폐업,219
노원구,공릉동,영업,116
노원구,공릉동,폐업,134
노원구,상계동,영업,184
노원구,상계동,폐업,262
노원구,월계동,영업,56
노원구,월계동,폐업,82
노원구,중계동,영업,96
노원구,중계동,폐업,99
노원구,하계동,영업,27
노원구,하계동,폐업,16
도봉구,도봉동,영업,33
도봉구,도봉동,폐업,96
도봉구,방학동,영업,61
도봉구,방학동,폐업,92
도봉구,쌍문동,영업,64
도봉구,쌍문동,폐업,82
도봉구,창동,영업,103
도봉구,창동,폐업,126
동대문구,답십리동,영업,32
동대문구,답십리동,폐업,171
동대문구,신설동,영업,21
동대문구,신설동,폐업,118
동대문구,용두동,영업,42
동대문구,용두동,폐업,94
동대문구,이문동,영업,48
동대문구,이문동,폐업,109
동대문구,장안동,영업,83
동대문구,장안동,폐업,219
동대문구,전농동,영업,60
동대문구,전농동,폐업,146
동대문구,제기동,영업,30
동대문구,제기동,폐업,101
동대문구,청량리동,영업,18
동대문구,청량리동,폐업,76
동대문구,회기동,영업,49
동대문구,회기동,폐업,94
동대문구,휘경동,영업,41
동대문구,휘경동,폐업,83
동작구,노량진동,영업,90
동작구,노량진동,폐업,142
동작구,대방동,영업,27
동작구,대방동,폐업,49
동작구,동작동,영업,3
동작구,동작동,폐업,6
동작구,본동,영업,6
동작구,본동,폐업,15
동작구,사당동,영업,92
동작구,사당동,폐업,197
동작구,상도1동,영업,27
동작구,상도1동,폐업,25
동작구,상도동,영업,85
동작구,상도동,폐업,139
동작구,신대방동,영업,47
동작구,신대방동,폐업,77
동작구,흑석동,영업,40
동작구,흑석동,폐업,75
마포구,공덕동,영업,35
마포구,공덕동,폐업,70
마포구,구수동,영업,2
마포구,구수동,폐업,8
마포구,노고산동,영업,27
마포구,노고산동,폐업,62
마포구,당인동,영업,2
마포구,당인동,폐업,2
마포구,대흥동,영업,20
마포구,대흥동,폐업,52
마포구,도화동,영업,47
마포구,도화동,폐업,94
마포구,동교동,영업,52
마포구,동교동,폐업,115
마포구,마포동,영업,2
마포구,마포동,폐업,11
마포구,망원동,영업,62
마포구,망원동,폐업,105
마포구,상수동,영업,31
마포구,상수동,폐업,56
마포구,상암동,영업,84
마포구,상암동,폐업,104
마포구,서교동,영업,172
마포구,서교동,폐업,356
마포구,성산동,영업,44
마포구,성산동,폐업,72
마포구,신공덕동,영업,11
마포구,신공덕동,폐업,25
마포구,신수동,영업,24
마포구,신수동,폐업,40
마포구,아현동,영업,25
마포구,아현동,폐업,31
마포구,연남동,영업,70
마포구,연남동,폐업,62
마포구,염리동,영업,9
마포구,염리동,폐업,26
마포구,용강동,영업,6
마포구,용강동,폐업,23
마포구,중동,영업,4
마포구,중동,폐업,5
마포구,창전동,영업,14
마포구,창전동,폐업,33
마포구,토정동,폐업,2
마포구,하중동,폐업,4
마포구,합정동,영업,54
마포구,합정동,폐업,86
마포구,현석동,폐업,2
서대문구,남가좌동,영업,54
서대문구,남가좌동,폐업,104
서대문구,냉천동,영업,7
서대문구,냉천동,폐업,24
서대문구,대신동,영업,6
서대문구,대신동,폐업,8
서대문구,대현동,영업,92
서대문구,대현동,폐업,188
서대문구,미근동,영업,11
서대문구,미근동,폐업,11
서대문구,봉원동,폐업,1
서대문구,북가좌동,영업,40
서대문구,북가좌동,폐업,52
서대문구,북아현동,영업,24
서대문구,북아현동,폐업,45
서대문구,신촌동,영업,19
서대문구,신촌동,폐업,13
서대문구,연희동,영업,74
서대문구,연희동,폐업,129
서대문구,영천동,영업,1
서대문구,영천동,폐업,12
서대문구,옥천동,영업,2
서대문구,옥천동,폐업,4
서대문구,창천동,영업,69
서대문구,창천동,폐업,221
서대문구,천연동,영업,2
서대문구,천연동,폐업,2
서대문구,충정로2가,영업,14
서대문구,충정로2가,폐업,37
서대문구,충정로3가,영업,17
서대문구,충정로3가,폐업,26
서대문구,합동,영업,3
서대문구,합동,폐업,4
서대문구,현저동,영업,1
서대문구,현저동,폐업,3
서대문구,홍은동,영업,40
서대문구,홍은동,폐업,62
서대문구,홍제동,영업,47
서대문구,홍제동,폐업,100
서초구,내곡동,영업,8
서초구,내곡동,폐업,3
서초구,반포동,영업,161
서초구,반포동,폐업,291
서초구,방배동,영업,188
서초구,방배동,폐업,403
서초구,서초동,영업,366
서초구,서초동,폐업,709
서초구,신원동,영업,13
서초구,신원동,폐업,5
서초구,양재동,영업,152
서초구,양재동,폐업,320
서초구,염곡동,영업,4
서초구,염곡동,폐업,4
서초구,우면동,영업,38
서초구,우면동,폐업,23
서초구,원지동,영업,8
서초구,원지동,폐업,7
서초구,잠원동,영업,62
서초구,잠원동,폐업,106
성동구,금호동1가,영업,7
성동구,금호동1가,폐업,14
성동구,금호동2가,영업,2
성동구,금호동2가,폐업,23
성동구,금호동3가,영업,9
성동구,금호동3가,폐업,12
성동구,금호동4가,영업,10
성동구,금호동4가,폐업,26
성동구,도선동,영업,6
성동구,도선동,폐업,36
성동구,마장동,영업,7
성동구,마장동,폐업,52
성동구,사근동,영업,10
성동구,사근동,폐업,5
성동구,상왕십리동,영업,3
성동구,상왕십리동,폐업,29
성동구,성수동1가,영업,87
성동구,성수동1가,폐업,96
성동구,성수동2가,영업,107
성동구,성수동2가,폐업,182
성동구,송정동,영업,5
성동구,송정동,폐업,21
성동구,옥수동,영업,17
성동구,옥수동,폐업,31
성동구,용답동,영업,23
성동구,용답동,폐업,83
성동구,응봉동,영업,2
성동구,응봉동,폐업,4
성동구,하왕십리동,영업,23
성동구,하왕십리동,폐업,36
성동구,행당동,영업,60
성동구,행당동,폐업,134
성동구,홍익동,영업,5
성동구,홍익동,폐업,18
성북구,길음동,영업,40
성북구,길음동,폐업,78
성북구,돈암동,영업,10
성북구,돈암동,폐업,16
성북구,동선동1가,영업,24
성북구,동선동1가,폐업,65
성북구,동선동2가,영업,15
성북구,동선동2가,폐업,14
성북구,동선동3가,영업,4
성북구,동선동3가,폐업,9
성북구,동선동4가,영업,7
성북구,동선동4가,폐업,11
성북구,동선동5가,영업,4
